10.74,8.803,4.867,5.003,12.511,21.125,7.984,6.907,11.229,11.657
18.234,9.359,8.185,4.096,10.209,4.624,10.369,8.388,5.557,14.061
6.824,13.258,16.829,11.363,6.707,4.172,24.166,9.24,7.394,19.352
3.865,2.058,10.557,3.406,15.467,13.657,5.535,8.455,8.323,7.845
13.683,10.961,8.758,7.369,8.244,15.944,4.7,5.278,7.968,5.659
12.512,3.518,6.355,6.272,8.167,5.699,5.754,16.477,6.828,6.469
4.711,10.693,7.307,17.663,18.462,14.307,3.12,11.716,8.787,8.801
7.201,7.216,13.294,1.871,4.193,6.337,4.237,10.594,18.698,5.338
14.283,6.266,1.46,5.138,6.995,11.885,7.84,16.795,6.179,12.225
10.358,16.574,11.386,20.795,6.822,8.757,21.852,14.208,11.554,15.439
10.816,9.013,17.14,8.758,9.673,10.004,7.801,12.956,7.632,8.144
8.689,2.01,10.655,2.765,5.383,9.692,13.708,13.436,18.553,9.227
7.862,10.035,17.615,10.168,4.341,6.527,9.761,14.457,9.526,11.895
7.029,15.846,8.336,8.451,9.783,11.591,9.988,9.572,9.818,6.331
7.433,11.095,9.924,6.891,13.479,9.201,18.544,16.161,10.993,12.167
10.773,18.263,8.952,15.53,10.087,10.14,15.407,7.489,7.973,13.188
20.795,10.303,14.031,12.051,21.968,12.958,2.401,7.215,13.916,10.671
5.931,2.55,15.871,9.85,12.448,20.614,23.277,16.781,10.215,9.757
7.228,6.166,9.231,16.177,12.708,10.287,8.518,13.21,3.04,8.728
8.218,9.535,5.083,2.844,13.47,14.863,19.878,8.111,11.386,5.077
13.474,5.279,8.029,8.62,6.945,10.47,18.925,8.498,6.753,6.5
15.937,6.34,10.786,6.95,5.166,7.714,18.189,7.119,16.809,10.738
4.976,8.437,14.858,12.063,8.158,6.016,5.943,7.918,9.149,11.247
7.293,8.193,8.648,12.535,14.407,5.441,6.935,14.425,9.882,10.566
6.062,10.809,4.238,5.192,3.752,13.401,10.093,21.449,6.1,14.477
